"id","category_id","mahorais","francais","example","status",
"1","6","Trini ?","Quoi ?","_","active",
"2","6","Mbani ?","Qui ?","_","active",
"3","6","De mbani ? ","C'est qui? ","_","active",
"4","6","Wawe mbani ?","Qui êtes-vous?","_","active",
"5","6","Wawe uhiriwa mbani ?","Comment t'appelles-tu? ","_","active",
"6","6","Wami uhiriwa...","Moi je m'appelle...","_","active",
"7","6","Wami ","Moi","_","active",
"8","6","Wawe ","Toi","_","active",
"9","6","Waye ","Lui, elle","_","active",
"10","6","Wasi ","Nous","_","active",
"11","6","Wanyu ","Vous","_","active",
"12","6","Wao ","Eux, elles","_","active",
"13","6","Kwezi !","Bonjour (à un aîné) ","_","active",
"14","6","Mbona ! ","Bonjour ! (réponse à Kwezi) ","_","active",
"15","6","Jeje ?","Bonjour ! (à une même classe d'âge)","_","active",
"16","6","Ndjema (tu) / Hairi","Bonjour! (réponse à jeje) ","_","active",
"17","6","Basi wawe?, Ehe wawe?","Et toi ?","_","active",
"18","6","Hodi ? ou Hodina ?","Y a quelqu'un ?","_","active",
"19","6","Karibu! ","Oui, entrez!","_","active",
"20","6","Barza asubuhi ?","Ça va ce matin?","_","active",
"21","6","Barza mtsana ?","Ça va cet après midi ?","_","active",
"22","6","Barza ajoni ?","Ça va ce soir?","_","active",
"23","6","Barza uku? ","Ça va ce soir (nuit) Comment vas tu ?","_","active",
"24","6","Barza suku nyengi ? ","Ça va ? (Après plusieurs jours) ","_","active",
"25","6","Barza maha mengi ","Ça va ? (Après plusieurs années) ","_","active",
"26","6","Kwaheri !"," Au revoir!","_","active",
"27","6","Suku yangina tsena ! ","A un de ces jours!","_","active",
"28","6","Lala ha unono ! ","Dors bien!","_","active",
"29","6","Marahaba! ","Merci!","_","active",
"30","6","Haya! ","Allons, allez ! ","_","active",
"31","6","Ndzia ya … ya havi ? ","Où est la route pour ... ? ","_","active",
"32","6","Ndzia ya ukatra ","Le chemin le plus court ","_","active",
"33","6","Nienyese","Montre-moi","_","active",
"34","6","Nienyese koni ","Montre-moi s'il te plaît ","_","active",
"35","6","Mbali ? ","C'est loin? ","_","active",
"36","6","Karibu tu!","C'est tout proche! ","_","active",
"37","6","Renga potroni!","Tournez à gauche! ","_","active",
"38","6","Renga kumeni!","Tournez à droite! ","_","active",
"39","6","Mbeli","Devant","_","active",
"40","6","Nyuma ","Derrière ","_","active",
"41","6","Uju ","Au-dessus ","_","active",
"42","6","Utsini ","En-dessous ","_","active",
"43","6","Vale ","Là ","_","active",
"44","6","Hule ","Là-bas ","_","active",
"45","6","Vanu ","Ici (démonstratif) ","_","active",
"46","6","Hunu ","Ici (plus général) ","_","active",
"47","6","Uju vanu","Là-dessus ","_","active",
"48","6","Uju vavo ","Là-dessus ","_","active",
"49","6","Utsinini vanu","Là-dessous ","_","active",
"50","6","Moni vanu ","Là-dedans ","_","active",
"51","6","Jeje bweni !","Bonjour madame!","_","active",
"52","6","Ndjema!","Bonjour!","_","active",
"53","6","Wawe uhiriwa mbani vale ?","Comment vous appelez-vous déjà?","_","active",
"54","6","Wami uhiriwa Klodi .","Je m'appelle Claude.","_","active",
"55","6","Basi wawe de mbani ?","Et vous, qui êtes-vous?","_","active",
"56","6","Wami uhiriwa Zainaba.","Je m'appelle Zaïnaba.","_","active",
"57","6","Usendra havi ?","Où allez-vous?","_","active",
"58","6","Nisendra hazini, basi wawe ?"," Je vais au travail, et vous?","_","active",
"59","6","Nisendra uju oho, na one mutru .","Je vais là-haut voir quelqu'un.","_","active",
"60","6","Ewa , basi kwaheri !","D'accord, alors au revoir!","_","active",
"61","7","Kwaheri, lala ha unono !","Au revoir, porte-toi bien!","_","active",
"62","7","Tomobili","Une automobile","_","active",
"63","7","Gari","Une voiture","_","active",
"64","7","Zombo za gari","Les outils de mécanique ","_","active",
"65","7","Mwenge wa gari ","Les phares d'une voiture ","_","active",
"66","7","Makiritasi yaho ya havi ? ","Où sont tes papiers? ","_","active",
"67","7","Uendra mbiyo ","Aller à toute allure","_","active",
"68","7","Usendra mbiyo hanguvu! ","Tu vas trop vite !","_","active",
"69","7","Ukiya mbeli","Se trouver devant ","_","active",
"70","7","Ukiliya mbeli","Dépasser, doubler ","_","active",
"71","7","Uziya taksi ","Arrêter un taxi","_","active",
"72","7","Upashiya taksi ","Monter dans un taxi ","_","active",
"73","7","Urongodza Wantru ","Saluer les gens ","_","active",
"74","7","Vahidza midzo yaho ! ","Montez vos bagages !","_","active",
"75","7","Jeje wanyawe ! ","Salut tout le monde !","_","active",
"76","7","Shuka !","Descends !","_","active",
"77","7","Vanu! ","Ici !","_","active",
"78","7","Vavo! ","Là !","_","active",
"79","7","Tsihuvosheleya ","Je vous remercie !","_","active",
"80","7","Marahaba!","Merci !","_","active",
"81","7","U1aga","Dire au revoir","_","active",
"82","7","Kwaheri !","Au revoir !","_","active",
"83","7","Suku yangina tsena ! ","A un autre jour !","_","active",
"84","7","Madza rijadza ! ","C'est déjà complet !","_","active",
"85","7","Usinyana ","Se serrer","_","active",
"86","7","Tsisinyiha ! ","Je suis serré !","_","active",
"87","7","Usiketsi mulonga ! ","Ne t'assois pas à la porte ! (Taxi brousse)","_","active",
"88","7","Ufahamu. ","Faire attention","_","active",
"89","7","Kula andrao ! ","Je pars, venez monter ! (taxi brousse)","_","active",
"90","7","Risilawa! ","On part !","_","active",
"91","7","Tsiwaswili ! ","Je suis arrivé !","_","active",
"92","7","Risiviriya Hakwa. ","Nous faisons un détour par Acua","_","active",
"93","7","barji ","La barge","_","active",
"94","7","Upashiya ","Embarquer","_","active",
"95","7","Namuvahidze midzo yanyu !","Embarquez les bagages! ","_","active",
"96","7","Isi lawa ","Elle lève l'ancre","_","active",
"97","7","Tsengeledza midzo yaho bavuni !","Rangez vos bagages à côté ! ","_","active",
"98","7","(M) usiheye uju vavo ! ","Ne montez pas là-dessus ! ","_","active",
"99","7","Namunimbe mwana bandza!","Donnez-moi de la place ! ","_","active",
"100","7","Namuziye ata barji ngiye !","Attendez que la barge accoste!","_","active",
"101","7","Magari, namuziye wana damu washuke rabuzi! ","Les véhicules doivent attendre que les passagers descendent ! ","_","active",
"102","7","Vwa mutru a dala saki yahe hunu !","Quelqu'un a perdu son sac ici!","_","active",
"103","7","Monye, vanu tsi latsiha. Nienyese koni indziya ya uendra laposte ?","Monsieur, je me suis égaré. Voulez-vous m'indiquer la route qui mène à la Poste?","_","active",
"104","7","Kabili pare lini. Wahipara uju oho, renga ndziya ya ukatra, kumeni haho.","Suivez cette route. Arrivé au bout, prenez le chemin le plus court à votre droite.","_","active",
"105","7","Mkini oho mbali ?","C'est peut-être loin?","_","active",
"106","7","Ahan ! karibu tu !","Non, c'est tout près!","_","active",
"107","7","Tsits tambiha sabu ?","Je n'aurai pas de problème, j 'éspère ?","_","active",
"108","7","Tsihuambiya endra tu ..","Je vous dis d'aller tout droit ....","_","active",
"109","7","Nehika kwavupara, regeya ata bazari, udzise.","Si vous n'y êtes pas arrivé, retournez jusqu'au marché et demandez.","_","active",
"110","7","Taksi !","Taxi !","_","active",
"111","7","Usendra havi ?","Où allez-vous ?","_","active",
"112","7","Nisendra tere ya avio.","Je vais à l'aéroport .","_","active",
"113","7","Halo basi, pashiya !","Allons-y alors, montez!","_","active",
"114","7","Zia be tsina midzo.","Attendez,j'ai des bagages.","_","active",
"115","7","Ivahidze basi.","Montez-les alors.","_","active",
"116","7","Tsimurongodzani wanyawe !","Salut à tous!","_","active",
"117","7","Rivosheya !","Salut!","_","active",
